1	1	294.7031026	221.5384615	0
1	2	58.49069212	231.3846154	0

2	1	58.49069212	231.3846154	0
2	2	26.99570406	263.3846154	0

3	1	26.99570406	263.3846154	0
3	2	2.249642005	563.6923077	0

4	1	2.249642005	563.6923077	0
4	2	47.2424821	694.1538462	0

5	1	47.2424821	694.1538462	0
5	2	51.74176611	814.7692308	0

6	1	51.74176611	814.7692308	0
6	2	98.98424821	878.7692308	0

7	1	98.98424821	878.7692308	0
7	2	242.9613365	964.9230769	0

8	1	242.9613365	964.9230769	0
8	2	393.6873508	1026.461538	0

9	1	393.6873508	1026.461538	0
9	2	668.1436754	1097.846154	0

10	1	668.1436754	1097.846154	0
10	2	897.6071599	1127.384615	0

11	1	897.6071599	1127.384615	0
11	2	1421.773747	1169.230769	0

12	1	1421.773747	1169.230769	0
12	2	2040.425298	1553.230769	0

13	1	2040.425298	1553.230769	0
13	2	2310.382339	1619.692308	0

14	1	2310.382339	1619.692308	0
14	2	2755.811456	1649.230769	0

15	1	2755.811456	1649.230769	0
15	2	3198.990931	1624.615385	0

16	1	3198.990931	1624.615385	0
16	2	3534.187589	1553.230769	0

17	1	3534.187589	1553.230769	0
17	2	4159.588067	1277.538462	0

18	1	4159.588067	1277.538462	0
18	2	4384.552267	1228.307692	0

19	1	4384.552267	1228.307692	0
19	2	4571.272554	1218.461538	0

20	1	4571.272554	1218.461538	0
20	2	4620.764678	1171.692308	0

21	1	4620.764678	1171.692308	0
21	2	4607.266826	1070.769231	0

22	1	4607.266826	1070.769231	0
22	2	4600.5179	915.6923077	0

23	1	4600.5179	915.6923077	0
23	2	4634.26253	809.8461538	0

24	1	4634.26253	809.8461538	0
24	2	4686.004296	738.4615385	0

25	1	4686.004296	738.4615385	0
25	2	4708.500716	644.9230769	0

26	1	4708.500716	644.9230769	0
26	2	4715.249642	558.7692308	0

27	1	4715.249642	558.7692308	0
27	2	4645.51074	352.0	0

28	1	4645.51074	352.0	0
28	2	4578.02148	352.0	0

29	1	4578.02148	352.0	0
29	2	4416.047255	315.0769231	0

30	1	4416.047255	315.0769231	0
30	2	4152.839141	265.8461538	0

31	1	4152.839141	265.8461538	0
31	2	3331.719809	209.2307692	0

32	1	3331.719809	209.2307692	0
32	2	294.7031026	221.5384615	0

